lemma	acc	dat	BAN	ON	RA	VAL	UL	BA	RÓL	HOZ	BÓL	TÓL	NÁL	VÁ	IG	ÉRT	KÉNT	KOR	SZOR	NKÉNT	ADP	ADV	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
ront	-0.152842292	-0.009758903	-0.01721743	-0.181384649	-0.025587259	-0.020906879	-0.047670869	-0.008529086	-0.006095996	0.001203274	-0.008529086	-0.00486618	0.006042911	-0.00243309	-0.001229816	0.001203274	-0.00729927	0.003636364	0.0	-0.00243309	-0.098712674	-0.032904225	1	1	2	4	1	1	4	5	7	6	0	1	3	11	5	2	5	5
szenved	0.237038855	0.002485349	-0.050208135	0.013393268	0.011531813	0.016502511	0.000930727	-0.001114827	0.0	0.000127847	0.012774488	-0.08271711	0.011659661	-0.001114827	-0.005446289	0.004715003	0.003600176	0.00582983	0.0	0.004587156	0.084118315	-0.019887904	0	0	3	2	2	0	5	0	5	2	7	11	7	2	13	9	13	13
számol	0.314459279	0.066871325	-0.043303122	0.033687425	-0.017412208	-0.440795244	0.033996037	0.002355196	0.001689244	-0.006042296	-0.01510574	-0.0036871	-0.005506286	0.0	0.059675795	0.03074749	0.090065945	-0.002176526	0.0	0.002533866	0.017964461	0.013578923	0	0	0	1	2	0	0	0	0	10	7	11	7	2	10	3	10	10
talál	-0.11369725	-0.141515851	-0.275141717	-0.126991392	-0.106357338	0.034104556	-0.018202813	-0.019458325	0.011425572	-0.004618938	0.00582406	0.003808524	-0.041226118	0.0	-0.000982574	-0.002309469	-0.005773672	-0.001792988	0.0	-0.001154734	-0.084438379	0.073970187	1	1	2	4	1	1	4	5	7	5	0	9	3	11	5	13	5	5
tart	-0.483882771	-0.366527962	-0.157631739	-0.169612943	-0.042676759	-0.056910715	0.015256304	-0.007658643	-0.04595186	-0.003285863	0.032768949	-0.030656096	-0.012042185	0.0	0.476432184	0.001086918	-0.001101266	-0.019693654	0.0	-0.00547046	-0.024224271	0.085974101	1	1	2	4	4	3	2	1	6	0	6	10	1	8	14	11	14	14
telik	-0.010054757	-0.038909347	-0.053146114	-0.032058343	-0.148312466	-0.030138653	-0.097734478	-0.048128342	-0.005486887	0.001197605	-0.065424765	0.021640142	0.001838035	0.0	0.031582824	0.00239521	-0.00281309	-0.000139294	0.0	-0.001336898	0.190945916	0.005895162	1	1	2	2	1	1	1	6	7	6	2	1	3	0	1	1	1	1
temet	-0.042203126	0.00156588	0.186589406	0.021128039	0.013389413	0.022028231	0.05533534	-0.180121639	-0.003184713	0.0	-0.0175424	-0.00399413	0.004750594	0.0	-0.00399413	-0.003184713	0.004750594	-0.015167103	0.0	0.002375297	-0.105942781	-0.020099248	1	1	3	2	1	2	5	2	2	6	10	4	13	0	6	2	6	6
terjed	0.004654036	0.009334168	0.307235938	0.04779303	-0.000130487	-0.049924318	-0.06071994	0.00381022	-0.022635141	0.0	0.018694434	-0.30230353	0.007620439	0.0	-0.407954486	-0.002557545	0.029281278	-0.00511509	0.0	-0.006393862	0.064721541	0.159107121	0	1	3	2	1	2	5	2	5	1	10	4	0	9	15	8	15	15
tesz	-0.20278129	-0.046544458	-0.179519595	-0.071597134	0.010598399	-0.012178677	0.018857986	0.038621997	-0.022524231	-0.002528445	0.032300885	-0.022756005	-0.018963338	-0.303413401	-0.007585335	-0.031605563	0.006552887	-0.00505689	0.0	-0.001264223	-0.016182048	0.144627054	1	1	2	4	1	1	4	5	6	5	6	9	1	11	5	5	5	5
tér	-0.000624029	0.006868142	0.176090901	0.005015199	-0.41443535	0.010842017	0.171473856	-0.028341615	0.012430802	-0.026714547	-0.021473473	0.561395986	0.014038728	0.0	-0.022154928	0.0	-0.001627068	-0.003897307	0.0	0.008816796	-0.094993989	-0.08940836	0	2	1	0	0	5	6	8	3	9	9	8	5	14	12	15	12	18
tölt	-0.236879872	-0.006549129	-0.198578106	-0.050031091	0.006686259	0.368186364	0.013332325	-0.049052268	0.002087683	0.002087683	-0.027111503	0.001378391	-0.022758815	0.0	0.00615429	0.003998042	-0.000709292	0.00095518	0.0	-0.001132503	-0.043973737	-0.057204397	1	1	2	4	1	1	4	5	7	0	6	9	13	13	5	5	5	5
tűnik	-0.000449007	-0.679938661	0.052091412	0.017741838	-0.004069745	0.01567442	0.071564188	-0.005752142	0.074379582	-0.008952556	0.078335696	-0.001824711	-0.004376438	-0.001917381	0.001375704	-0.004020101	0.003571094	0.003571094	0.0	0.001097695	0.022789027	-0.157694069	1	1	2	2	4	3	2	1	1	7	11	2	6	4	4	7	4	4
utasít	0.199198219	0.005570768	0.012640449	0.065212602	-0.450264375	-0.008729896	0.063249457	-0.006440217	-0.000275391	-0.036402763	0.001506782	-0.000594058	-0.000594058	-0.003745318	0.003151261	0.000456362	-0.005389796	0.00210084	0.0	0.0	-0.061809555	0.092102571	0	2	1	3	0	5	3	3	4	3	5	5	4	1	0	4	0	0
utazik	-0.040814874	0.002202588	-0.114115824	-0.153305975	-0.052774172	-0.023248608	-0.028411708	-0.170951803	0.015610737	0.019203551	0.014027888	-0.009580838	0.001101294	-0.001197605	-0.021653197	-0.003689125	-0.001486537	0.008094301	0.0	0.001101294	-0.033738118	0.051530505	1	1	2	2	1	1	1	6	7	5	0	1	3	11	5	13	5	1
vesz	-0.179675064	0.00173462	-0.225692298	-0.336521927	-0.030403774	-0.032014358	-0.054472332	-0.283930803	-0.003775571	-0.007453416	0.013247385	0.151889195	-0.007613159	0.0	-0.010909501	-0.00539931	-0.018092294	-0.012151737	0.0	-0.000971613	-0.130949719	-0.030200806	1	1	2	4	1	1	4	5	7	5	0	9	5	11	5	13	5	5
veszik	-0.113745554	-0.501840644	-0.00742497	-0.038185562	-0.027890435	0.020527859	-0.059462158	-0.212765957	0.008797654	0.0	0.005116366	0.002932551	-0.012478942	0.0	0.0	0.0	0.005865103	0.005865103	0.0	-0.021276596	-0.108691583	0.017408124	1	1	2	4	4	3	2	1	1	7	11	2	6	4	4	7	4	4
veszít	0.261980511	0.003039488	-0.058301394	-0.063361641	0.008216639	-0.004266974	0.001603247	0.001444592	0.001444592	-0.000150304	-0.365106006	0.012608866	-0.010771813	0.0	0.004333776	0.004784689	-0.007281412	-0.000300609	0.0	0.0	-0.101413696	0.02271266	0	0	0	2	2	0	1	0	0	2	7	11	7	2	2	3	2	2
visel	-0.287555253	-0.013872832	-0.095647739	-0.080618837	-0.004522271	-0.01315879	0.09132948	-0.004624277	0.003570214	-0.004624277	-0.009248555	-0.01734104	-0.003468208	0.0	-0.016082965	0.001462088	-0.003366202	-0.019653179	0.0	-0.001156069	0.034410065	0.09115947	1	1	2	4	1	1	4	5	6	0	6	9	1	11	5	5	5	5
visz	-0.005815346	-0.016052069	-0.029035338	-0.022763221	-0.17928235	-0.038429472	0.016569449	-0.170844629	0.019147477	-0.004079907	0.06120304	0.002311947	-6.65202e-05	0.0	-0.014816271	0.002378468	-0.003720698	0.003614265	0.0	0.002391772	-0.020743962	0.015144438	1	1	2	2	1	1	1	6	2	6	2	1	3	0	1	1	1	1
